label	text
sad	I was very sad to hear of my friends passing
anger	I can't believe I lost another bet to my sister. I think she cheats.
anticipating	I'm so sleepy but have so much work to do.
anger	My daughter dropeed an entire carton of eggs in the kitchen.
anticipating	I haven't seen our cat for days now. I have to find out what happened.
joy	I was walking down the street the other day and I found 20$ just sitting there on the ground! I was so happy!
disgust	I got my burger with millions of onions on it today when I specifically asked for no onions. Im allergic.
surprise	Got home and everything looks like it got a fresh paint.
anger	I'm upset about a project my daughter is working on.
sad	I yelled at my mom, because I was sleepy. I feel so bad.
anticipating	I cannot wait for the new super smash bros for the nintendo switch
anticipating	I can't wait to see the results of our local elections today.
anticipating	I'm getting a shipment from my mom. I'm so excited!
anger	My son is being bullied in school and no one is doing anything about it.
surprise	I can't believe game of thrones is ending. I thought it would come on forever like the simpsons.
surprise	There were 6 kittens in front of my doorstep this morning.
joy	Going on vacation this weekend. I can't wait!
surprise	I tried spinach alfredo h other day and couldnt believe that I actually liked it.
joy	The adoption people called me about the dog we applied for. Think we're getting him!
sad	My friend just went through a break up. Think some good movies and food are in order.
fear	I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time
fear	 I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time
fear	I was watching going down youtube rabbit-hole last week when I stumbled on this dark web stuff. There was a video about how you could contact hitmen. Eventually it lead to the guy who made the video meeting a supposed real hitman and it was a weird experience. The guy was very sketchy to say the least. I wouldn't be surprised if it was fake, but the possibility of people out there like kept me up that night.
sad	My dog passed away a week ago. Feels different not having anyone to come home to.
anticipating	I am nervous because I am having surgery tomorrow
joy	My best friend is getting married!
sad	Our fence fell down. It's going to cost so much to get it fixed.
sad	Broke up with my girlfriend last week. I don't have anyone to do stuff with anymore.
disgust	I think surgery is so gross.
trust	I trust my girlfriend, we have ben dating for almost 3 years now
anticipating	My friend just adopted a dog. I can't wait to see him!
surprise	My friend gave up his dream school to go to a local college so he can stay close to his mom.
sad	I was lonely before I met my girlfriend and all my frinds
surprise	Just came home to so much cake!
anticipating	My friend said she wanted to talk to me. No idea what it could be about.
anticipating	I've never been to Washington, DC before. I'm pretty excited.
trust	Loaned my friend 10k. My family said I shouldn't have, but I think he'll come through.
anticipating	I can't find my phone anywhere. Everything is in it!
sad	I was lonely before I met my girlfriend and friends
fear	  I used to be afraid of the dark but now I am not so much, I had a nightlight for a long time
surprise	The local restuarant near us is closing. I thought business was good.
sad	I feel all alone when nobody is home.
sad	I was sad before I met my girlfriend, I did nothing interesting
trust	I want skydiving a couple weeks ago!  I had to put a lot of faith into my instructor!
fear	My wife talked me into bungee jumping a couple weeks ago!  It was insane and I was scared out of my mind!
anger	I found out that someone I thought was my friend really isn't my friend. She stole money from me!
anger	This tax war that US has started is borthering me because prices are now increasing because of it.
sad	I feel abandoned.
joy	My son graduated from high school this year. He should have graduated last year, but didn't have the motivation to do what was needed. I was so glad to get that diploma in the mail.
surprise	I came home the other day to find my brother waiting for me!  I had not seen him in almost 5 years!  I couldn't believe it!
disgust	A toddler was eating something that he took from the floor. His mother was not paying attention to what he is doing.
anticipating	I just can't wait until this weekend!  I am going on a trip to the Bahamas for a week!  I can't stop thinking about it!
anticipating	I dropped my friend's birthday cake on some kid.
surprise	My friend told me that she has a crush on me.
sad	I missed the sale at the supermarket.
fear	I decided to face my fear of heights. I went bungee jumping. I have never been more scared in my life. I survived, but would never do it again.
anger	I'm supposed to hang out with my friend, but's like 15 minutes pass the time now.
joy	I finally have enough to buy a new computer.
anger	Nail in tire was very frustrating
joy	I got $20 worth of Taco Bell. I haven't ate all day.
anger	My husband's sister lived with us, and she slept in all day. She was on our couch and would just lay there with the curtains drawn until like five o clock.
anger	I saw a man yelling at a young boy.  It made me very upset.
fear	My friend's dog started vomiting a lot. He's at the vet right now.
anger	I took the subway home from work today. Due to a police investigation I had to wait a really long time for the train and then it was really crowded.
surprise	I was shocked when I realized I had a $100 bill in an old pocket.
joy	I am very happy with my girlfriend.
surprise	My friend got me a new phone.
sad	I tried to get my estranged mom to speak to me, and she got mad and insulted me.
joy	Haven't seen my friends in a while, we had such a great time at the lake.
anticipating	I haven't seen my grandma in 5 years. I'm so excited she's coming to visit.
anger	My son just graduated high school. One of his ex girlfriends pushed past my mother and I to get to him. She jumped on him and hugged him for 10 minutes and wouldn't let me get anywhere near my son
anger	I was not impressed when I realized that I left my badge at home
trust	I've been letting a stranger stay with us this past couple of days.
anger	I hate trying to apply for jobs, putting so much effort into it, and then not getting any sort of response back. It's like, yeah, okay, I understand if you can't hire me, but can you at least tell me that you're denying me, and maybe why, too?
trust	My girlfriend is going on vacation out of the country with her friends for 2 weeks.
disgust	my ex roommate refused to clean
fear	I thought I saw a bat in my kitchen last night. I was so scared.
surprise	I was about to go to bed when I received a phone call. It was my mother in law who I hadn't talked to in awhile, and she had interesting news.
anticipating	I am anticipating a really long day tomorrow and it makes me nervous
surprise	The first time I stayed at my boyfriend's apartment, I realized he kept good secrets from me. There were flowers waiting for me throughtout the apartment. There was also chocolates and snacks as well as treats and toys for my dog
anger	My neighbor's party is still going on. I need to wake up early tomorrow.
trust	Let my 16 year old brother borrow my car to take his date out.
anger	Someone in my family snuck $20 out of my wallet without asking me. It had to be one of them, because it's been here on the counter all day, and I know I definitely had two $20 bills in there. No one will own up to it... 
surprise	I was shocked when I realized I left my door open at night
sad	I think my brother's children are going to have to be put up for adoption soon. He and his wife just aren't fit for parenting, as they fight and get drunk all the time. It's a shame, because I love the two nephews myself, and I hate the thought of not being able to see them again. But it may be for the best...
sad	Yesterday I was notified that I didn't get a promotion. I was upset.
anger	My husband always stops at the store on his way home from work. We are all waiting on him for so long while he just takes his time.
surprise	My parents threw me a surprise party last night. It was really nice of them and I was blown away.
anger	I am mad at the democrats.
anger	I am so mad at my cable company!  My internet and TV keeps going out and their technicians are incompetant!  
joy	Pretty excited to go shopping
surprise	I was at my mother's house the other day and while waiting in the garage she pulled up in a brand new SUV she had bought.  I was blown away about how nice that thing was.  Can't believe she actually spent the money on that!
anticipating	I can't wait for the new season of this is us. That is the best drama out there.
anticipating	Four more days and school is back in session. I could skip the entire weekend.
fear	I think I'm getting new neighbors. I'm scared they will be jerk like the last ones
disgust	I took out the trash yesterday and the bag burst all over the ground.
joy	I proposed to my girlfriend and she said yes! I am so happy!
anger	These people at work are so disrespectful and racist!!
anger	I am upset that the Jonas Brothers broke up.
joy	My baby walked for the first time the other day!  I am so delighted.
anticipating	I can't wait to graduate. A bachelors degree should open so many doors for me.
anger	I can't believe my neighbors are putting up pictures at this time of night.
anger	Uber Eats did not even bring my order today! Customer sevice was being weird about a refund
disgust	I can't believe they put onions on my burger today I hate onions.
sad	I've been feeling pretty down since my dog passed away.
fear	My street almost flooded very bad up to my garage because of the heavy rain today. I have things in my garage that I wouldnt want to get wet and didnt even think it could flood.
fear	I am afraid today that my neighbor is starving his dogs. I don't know how to go about it!
sad	I miss living in the city. Everyone is so far now since I moved.
sad	I felt alone when my friends were all gone for the summer. I just had no one to hang out with
joy	I felt good and normal going to my brothers wedding. It just felt nice to know he was going to be happy
joy	i was happy when Lebron signed with the lakers
sad	I couldnt believe i didnt win the lottery yesterday!
surprise	I was in shock when I saw an accident. It was a car accident on the highway.
disgust	I ate at a restaurant this morning and the Sriracha bottle looked like it was 1000 years old.
joy	I have lived in the same area my entire life and worked at the same place for 10 year. I am perfectly happy and in no need of change.
sad	My boyfriend left town a couple of days ago and he won't be back for over a week. It is so quiet here and there's nothing to do.
sad	sometimes I feel all alone!
anticipating	We are looking in to buying a newer and bigger vehicle. I have wanted one for a long time. It will be so great to have a bigger vehicle.
sad	My kids went on vacation with my parents for the week. I feel so lost and bored without them here.
fear	I am scared of the police.
fear	I watched a horror movie last night.  I was so scared, I nearly cried.
disgust	I went out to dinner at a fancy restaurant with my husband the other night. It was a perfect experience until I had to use the restroom and realized how gross and dirty and smelly it was. It made me lose my appetite. 
anticipating	I been waiting a while for the official release date for a new video game. There's been a lot of rumors but nothing set in stone.
anticipating	Driving gets me so nervous sometimes. At any moment, I know I can be involved in a deadly crash...
sad	I live alone and I feel lonely a lot! I don't like living alone most of the time
anticipating	My birthday is next week. I can't wait until then!
joy	I just got a new promotion. This makes me so happy when I think about it.
sad	My dog passed away last month. I am so sad about it.
disgust	Police never show up here. It definitely upsets me
fear	I try to always stay inside when it's dark out.
sad	Birthday last year.  Sitting at home alone.
trust	I let my daughter take my credit card to the mall today for school clothes shopping. I have faith that she did not spend more than I told her she could spend.
sad	My children are in bed fast asleep, and no one wants to talk to me. I check my social media accounts and everyone is having fun with their loved ones except me. I am afraid to message someone because I do not want them to know the sad truth of night/life.
anticipating	I am worried about how I'll pay rent on time.
surprise	I was surprised when I thought I bought 5 packages of gluten free cookies. They weren't!
anticipating	Beach vacation coming up
trust	I have decided to let my kids stay home alone without a babysitter while I work. They have been begging me for this but I have not been confident in their abilities to manage themselves and the house.
trust	I have faith my girlfriend can get us safely to the hotel. We are on vacation.
sad	Had to attend a funeral
anticipating	I start my new hob next week. I am very nervous and not sure what to expect.
sad	My roommate just move out of our dorm. I have never lived alone before. It is so weird. 
fear	I used to get terrible nightmares, it made me have trouble sleeping.
anger	I wanted to buy the new Nintendo Switch and it was sold out. I was so angry at the store.
anger	I was so upset when my friend lied to me about  something, I yelled at her.
sad	I proposed to my girlfriend and she said no.  I am so hurt.
anger	I was bugged by my room mate to take the trash out. It wasn't my turn to.
anticipating	I am really looking forward to the next NBA season!  I can't wait.
fear	I already have 6 kids, getting pregnant again is so alarming :(
fear	My friends and I watched a horror movie and I kept trying to hide my face away from the screen because it was too scary!
anger	I stubbed my toe last night and cursed angrily.
sad	I went to the movie theater by myself. I was the only one in the whole theater for the film. 
fear	I watched a scary film last night and have been horrified about it all day.
anticipating	I had all my stuff moved from my old apartment to my new one, but the truck had a crash. I'm scared to find out if my furniture is ok
anger	Manager schedueled me for an entire week of shifts, many of them doubles and without much time for a break between.
sad	I wish I can stay just one more day i'm so unhappy that I will be leaving today
sad	One day I couldn't stop thinking about my estranged family and how much I missed them.
sad	I don't have many friends where I live, so I feel a bit down.
sad	I dropped my favorite perfume and it broke
anger	I ordered a meal from a restaurant, and when I went there to pick it up they claimed they never received it. I was really upset, and they did not offer to correct the situation.
disgust	I am very irritated at how my junior colleague never listens to instructions
anger	Someone ate my lunch at work.
surprise	My friends threw me a surprise birthday party. I was so shocked and felt so incredibly loved. It was amazing.
anticipating	When I order something online, I am so impatient to receive it
sad	My family went on a vacation without me because I had to study for final exams. I have to stay home by myself which feels a bit like I am living in exile.
anticipating	Long trip to florida.  Don't like riding in cars.
fear	My girlfriend showed me the scariest YouTube video last night and it freaked me out.
anger	I was checking out today at the grocery store and one of my items busted. It went everywhere and the cashier was so rude about it.
fear	Afraid of my dog dying
surprise	A friend of mine organized an impromptu celebration for my birthday. It was very considerate of her to do that.
fear	I am very uncertain if the fuel will be enough to drive me to the next station before I can buy
trust	I really thought the Doctor knew what he  was talking about. After all he is a Doctor.
joy	I finally saved enough to build a new PC! I've been looking forward to it for many months now
sad	My family felt me alone for vacation at home. It was boring being alone.
joy	I remember opening presents at Christmas. I was so happy spending time with my family and enjoying the holiday goodies.
fear	I was afraid to see aguy holding a knife toward me  
anger	My friend borrowed a book from me, but he lost it. It was one of my favorites and it's not so easy to replace
sad	I am not too happy that I didn't drive my mother to the airport
disgust	The ladies bathroom was so gross. Someone left a dirty diaper in the sink.
joy	I got a promotion at work recently, and that left me a very happy boy.
anticipating	I've been wanting to get a new laptop for a while now, and I can finally afford one! I just need to wait for it to get here
anticipating	I cannot wait to go to an anniversary dinner with my partner. It promises to be a special dinner!
sad	My favorite horse, Gracie, died the other day. I've had her since I was a child so it's very hard to take.
sad	I was about 8 years old and my mom left me all night with her friends. I cried myself to sleep.
surprise	My mom gave me an unexpected gift this past Christmas. It was a family heirloom that is quite valuable.
sad	My pet hamster was eaten by a pit bull.  I can't handle this sadness.
anger	After dating my girlfriend for 3 years she still won't accept my marriage proposal, I am so furious
fear	I am worried I won't have money for rent. I am scrambling to try.
sad	I lost my favorite watch the other day. I've had it for years, so it hurts me to not have it anymore
anger	I lost a game of DoTA today! My stupid teammates all left the game and I couldn't win on my own.
sad	Watch my dying dog
surprise	I am shocked at how fast my hair is growing these days
fear	 I have to go to a company presentation and make a speech. I'm so nervous that I might mess it up
sad	I am a little down because my computer stopped working yesterday.
anger	This lady in line behind me in Target wouldn't shut up. She was on her bluetooth screaming to the person she was talking to.
surprise	I got take out and when I got home I had an extra dessert. I was quite pleased.
sad	All my friends have moved out of state after college and I'm the only one left. I miss them and am trying to decide if it's worth it to move.
anger	I ordered a product with express delivery, and it was delayed for a week!
anger	I have to take my car to the shop again. Someone rear ended me and my car needs body work.
sad	I was in complete shock to receive the news of the demise of a bosom friend
fear	One time I saw a ghost in my living room.  I was absolutely terrified. 
anger	Why won't I get my stuff after all the effort I put in, It's so unfair 
surprise	Was promoted at my place of work barely a month of joining the company
joy	I loved seeing my nephew open his birthday gifts. He was full of pure happiness.
fear	I heard a huge noise in the middle of the night. I almost pooped my pants, but it was just my cats.
anger	Why won't I get made at you?
sad	There's a wild fire let loose in my areas ,it gutted several houses ,mine inclusive. It was ...
trust	I felt very confident that my partner values my judgment about things. It makes me feel good about our relationship.
fear	I watched a scary film last night, and it still has me super spooked.
surprise	It's not unexpected that you are the best
disgust	I saw a man eat a 3 foot burrito the other day.  It was the grossest thing I ever saw.
fear	About 15 years ago, I was a passenger on a flight which had to make an emergency landing. It was the most frightening experience of my life
anticipating	I am looking forward to an anniversary party for my parents. They have been together for many years.
fear	A robber held me at gun point 
joy	I went camping the other week, and I was so happy to not have to worry about the troubles of the world for a while. It was therapeutic, honestly. 
anger	i stubbed my toe the other day and was ticked off.
surprise	My nephew gave me an unexpected birthday gift. It was quite cute!
fear	I was working late at a fast food place years ago.  Two robbers came in and held us up at gunpoint.  They pistol whipped the manager and locked us in the walk in.
anticipating	I have an exam tomorrow.
disgust	My wife just confessed that she cheated, im irritated at her behaviour
fear	I went to the movies recently and saw the most scary movie ever. I couldn't sleep!
sad	I have no friends at my new job
anger	My boyfriend gets on my nerves so bad.  He can never throw anything in the trash.
fear	My car broke down yesterday and they say it might be the transmission. If so, I'd need a new car and that's hard to do right now
sad	my first year of college i didnt have much contact with people
sad	The first time I traveled overseas to Thailand, I was having some serious culture shock and I was afraid to leave the hotel room. Haha.
fear	I was forced to give a speech in front of a large and completly full auditorium. I had barley any time to prepare and really had no idea what I was supposed to say.
anticipating	I can't wait to know if my wife is going to have a boy or a girl child
sad	I had no roommate my first year of freshman year of college
disgust	I was walking home through the park last night when I saw a homeless man sleeping there. He looked and smelled like it had been months since he cleaned himself off atall.
sad	Last weekend I wanted to spend time with some friends. But everyone I contcted was busy. I eneded up spending the whole weekend alone.
anger	Someone cut me off in traffic this morning.
anger	My friend crashed my car.
fear	My friend was getting married a few weeks ago but I was forced to work rather than attend his wedding. I'm really worried about if he'll still be my friend after that.
anger	I got crashed into this morning by another car who was texting while driving
joy	My dad bought be a Porsche.
disgust	Seeing that you bought a white color when I asked you to buy green irritates me
anger	I have a friend who was constantly calling me last night attempting to get me to do his project for him. I really wasn't able to help him at all because I don't know anything about the topic.
anger	someone crashed into my car yesterday.
fear	I am scared that I might not have enough money for food next month
joy	My mom came over to visit last week. She was very helpful around the house. She really took care of all of my needs.
trust	I had so much belief in people that I gave my car to someone and he drove it and never came back with it 
sad	I live by myself and it gets so boring.  Just me and my dog.
joy	I am so happy my sister just had a baby!
anticipating	I am looking forward to my birthday,
joy	I've played the lottery every week for years. This week I got the winning ticket. I'm so happy!
anger	I just got a new car. I parked it in front of my house. Right away some neighborhood teens came around and keyed it. Now I have to get it fixed.
anger	My workers did not perform the task to satisfactory standard.
fear	Our dog started barking a lot in the middle of the night. I was looking out the windows trying to see if someone was out there. It was too dark to see anything.
surprise	I heard a ring ,moved towards the door ,open and it was....
anger	My brother won't stop teasing me about the pimple on my face.
surprise	My sister who is living overseas sent me a package with some presents the other day. She did this without telling me and I was really happy to get it.
sad	My dog died, I feel like I don't have any friends anymore
fear	I have been attacked last week by robber with a knife. I am still terrible afraid of getting out alone.
surprise	 In the fall, i had a week off and I didn't make any plans because I was pretty broke. My oldest and best childhood friend flew in from where they live in Europe to spend the week with me- they didn't tell me they were coming. It was wonderful!
surprise	I was shocked when I didnt win the lottery!
joy	I was so happy last week when it was fridaaay!
sad	All of my friends are away for the summer so I have no one to spend time with right now. It's quite upsetting.
anger	I was mad when I woke up and it was only Tuesday!
fear	I heard a loud smashing sound from the kitchen.
sad	I started a new school and did not know anyone in my class
joy	I was happy when i woke up and it was friday!
anger	A friend of mine misunderstood I was saying
anger	I lost my job yesterday
anticipating	I have an important exam tomorrow.
disgust	Yesterday I saw a mother beating up her kid. I couldn't believe it!
anger	I was mad when it was only tuesday!
joy	I entered a contest to win a free vacation last month. Much to my shock I won it! So I will be going to Puerto Rico for free at the end of the month!
disgust	Found worm in my candy
sad	My wife is leaving town next week.
surprise	I was shocked to see my dog missing the other day!
anger	My kids don't like to listen and it drives me crazy.
anger	In the airplane, last week, I was borred by someone knocking repeatedly and aggressively on the toilet door.
sad	I have no friends in my new class.
anticipating	I was looking forward to my birthday party. I always throw big ones for the kids, and now it was my turn since it was a milestone birthday. 
anticipating	I am worried and concerned about the environment. There always seems to be bad news on TV.
fear	First rollercoaster
surprise	I can't believe they threw me a party for my birthday!
surprise	One time in high school, I received an award unexpectedly. It was for the work I did on the school year book. 
sad	I feel sad that I don't have a social life.
surprise	when i woke up this morning to a large bonus from work. 
anger	when my boss lied to me 
trust	I own 2 properties because I recently moved, and I let my friend move into my house to live there for free. 
sad	when my wife and daughter went to peru without me. 
anger	My tooth is hurting me today.
fear	Just watched season 2 of Luther last night on Netflix.  Keeps you on the edge of your seat.
surprise	I was startled to find a snake in my yard a few days ago.
surprise	i was shocked when i saw my dog missing the other day
fear	I've been hearing some strange sounds around the house at night lately.
sad	 i was crushed when i saw my dog had gotten out
surprise	I couldnt believe i got a bonus at work!
fear	Something is under my bed!
anger	i was upset when I wasnt able to leave work early
anticipating	Im so waiting for my new car, and cant wait to go pick it up. 
sad	I've been spending too much time alone lately.
fear	when i heard someone fighting out of my apartment at night 
anger	when a car almost hit me, on the interstate. 
anticipating	I am getting ready to go on a vacation to China. The anticipation is really exciting but it is also pretty exasperating. There seems like there are a million things I still need to do before I go.
joy	I just got a new tv today. I think I picked the right one
sad	My roomate is leaving at the end of the month. I won't be able to hang out with him as he is moving up north.
anger	I was going to order a pair of converse for my daughter for school. I put them in my cart and the next day they were sold out!
anticipating	for my house to sell, and my wife to start her new job in 2 weeks. 
anticipating	One time in school, I was asked to give a speech in front of the class. I really don't like speeches and was nervous leading up to the speech.
sad	My friend got a new job and is moving to Vegas. I am going to miss her.
disgust	I had the Taco Bell breakfast for the first time today. It was terrible.
anticipating	 I just talked to my kid's pre-k teacher. They already know each other. I can't wait
anticipating	I cant wait for the NFL season to start
joy	I care a lot about all the little birds in my neighborhood. I am a sensitive soul and I just want to help every critter I see.
anger	that dang storm last week upset me
sad	My boyfriend broke up with me and stile my rent money. I am going to be evicted.
sad	I get lonely at times. I'd rather be alone then be abused though
sad	My daughter went on vacation with her friend. It is very quiet around here and I am not used to it.
anger	I was mad when I didnt get paid my entire check
fear	I am getting an evaluation at work soon. It might not go well.
sad	I feel like I am going to be single forever. Every date I go on is terrible.
surprise	I was very surprised when my neighbor told me he still had his dogs. I haven't seen them in a week or so. So I have been worried!
trust	I asked my friend to get stuff for a party, I knew he'd pull through though.
anticipating	I cant wait for saturday to get here!
sad	I felt sad once when I went to the store to buy some of my favorite candy. When I got there they were all out!
surprise	I was super surprised when there was a cute skunk in our yard last night! Everyone got away safe even though I had to go grab my dog half dressed.
anticipating	I'm waiting for this semester to start so I can get it over with.
fear	I was scared when I went home alone the other day
sad	i felt lonley after my girlfriend leave me alone
fear	I am a bit afraid to call AC on my neighbor as I don't want him to retaliate. But I have too for the dogs sake.
fear	When our home was broken into, It was so scary.
joy	I am at a great point in my life right now.
sad	My dog is walking a bit slower these days, he's 15.
joy	When I purchased my home.
anticipating	I love to travel, but I hate flying. Last time I took a flight, I was nervous and didn't want to go.
disgust	I felt awful when my I saw a man beating a dog on the sidewalk.  The poor dog was bleeding and I stopped to help him. But it was too late.
disgust	My brother ordered a pizza with ham and pineapple on it. It was so gross. I couldn't watch him eat it.
anticipating	I am waiting on my grad school interview. 
sad	My dog injured herself on her tongue and had to go in for surgery and my child went to his grandparents house that day so it was weird having the house so quiet. It was almost an eerie feeling. 
surprise	I was so shocked when my aunt got me a computer for college. I was just happy
trust	I knew my dad was going take care of me when I got the flu bad one winter. He just really cared
fear	My friends want me to scuba diving with them. I really don't want to because I worry about sharks and other creatures. 
sad	When my dad passed away, I felt alone. I had no one to talk to it seemed
sad	I am very sad these days.
anticipating	I can't wait till next week.  School starts on Monday.
sad	When I had to give away my dog Omar, it was sad. The place I was going did not allow animals
anticipating	I could not wait for first day of college. I was just ready to do something new
surprise	While I was taking my dogs out to potty the other morning I came in to find a note left by my spouse that said pick one of these shirts and be ready by noon. It was quite wonderful and unexpected we went for a really nice lunch and had an amazing day together.
anger	I was upset when I had to pick up mu drunk friend last weekend. He was being a pain
anger	My father cheated on my mother. I was not happy with him at all.
anticipating	I was nervous when I had to go to jury duty. I just did not want to go
sad	It's tough seeing my dog get old and have trouble walking now.
surprise	My sister gave me $500 she won the lottery 
sad	My pet turtle apparently died 2 weeks ago. I was just now told by my parents who were holding on to me while i was away.
anger	I had a kid on a plane a while ago keep hitting my seat from behind. I was getting really irritated about the kid and asked the flight attendant. 
fear	I had real fear when a tornado was close to my home. I thought we might die
anger	my neighbors dog keeps pooping on my driveway
anticipating	My daughter is going to be a senior in high school this year. She will graduate and go to college next year. I am so excited for her.
anger	Brother took my car without asking and i had to go to work. I was so furious at him and wasn't happy at all.
fear	I was nervous when it was raining real bad last night. I hate storms
anticipating	I had to get my foot checked out at the doctor recently, always makes me nervous.
sad	I was so bored last night.  I live by myself, just me and my dog.
sad	Recently I went backpacking in the mountains. I was hiking for a week and never saw a single other person. I felt pretty isolated and missed interacting with another human being.
sad	I felt alone last summer when my friends were all gone for the summer.
joy	After one of the longest days of work i had i was so happy that i didn't have to work for 2 weeks after. I am so happy with myself.
surprise	It was my birthday last week. I didn't think any of my coworkers remembered. I sure got big shock when the whole office started singing Happy Birthday and brought me a cake!
joy	I was just happy and calm when we stayed at a cabin last weekend. I felt like I was home
fear	I am going to my first haunted house this October!  I don't know why I feel so scarred!
fear	Alone while family was at a party when someone rammed a quad into the garage.
anger	My wife and I had worked all weekend to clean the house. But in 2 hours, our 4 children destroyed all of it! 
surprise	I had to hire a plumber last week for a leak in my kitchen sink.  Everything was great until I saw the bill.  Talk about sticker shock!
surprise	My girlfriend came home with a giant box. It had a little kitten in it!
sad	lost my cat whisker he was the best pet i have ever had 
sad	My wife and I decided to get a divorce.  I feel absolutely defeated and distraught because of it.
anger	Yesterday someone cut me off while I was driving on the road. They almost hit me. I was quite angry when I saw they were looking at their phone and not the road!
fear	a stray dog chased me when i was a kid, from then on i have never liked dogs
fear	I almost hit a deer driving down the highway a few days ago.
anticipating	The other day I got a strange message from a distant relative. It said they needed surgery but couldn't afford to pay for a doctor. I was so worried.
anger	Just got backed into at the grocery store.  My new car now has damage!
surprise	I ma surprised at the economy.
sad	I went to the bowling alley all alone yesterday. My friends ditched me.
anger	My dog pooped on the rug yesterday. I was so mad.
anger	My dog threw up all over my $10,000 tuxedo. I was quite irate.
disgust	I was almost hit head on by a driver who was texting.
joy	I went to the park yesterday and read a book under a tree. Felt so good to relax for awhile.
anger	I waited all day for my package to arrive.  The mailman didn't even come by.
joy	Going to a dim sum place after work. Haven't had some in a while.
joy	Got a coupon for free coffee. It's not much, but $5 is $5.
trust	I have a total trust in our current gouvernment.
fear	My husband wants to go parasailing together when we go to Mexico next month.
anger	Someone cut me off in traffic the other day.
fear	A giant wasp tried to attack me on my balcony. Another reason why I don't like to go on my balcony!
anger	My computer keeps overheating when I play intense games, it won't stop bugging me. Ugh
fear	My ex is coming over to talk. I'm scared that he wants to make up. I don't
sad	MY favorite restaurant is closing this weekend. I am distraught!
joy	I'm so happy that my cousin got a full ride scholarship! She really worked hard for this chance to be successful!
anticipating	I can't wait for the Mile 22 movies to come out. It has one of my favorite UFC fighters in it and I can't wait!
anticipating	I can not wait for the new Mission Impossible movie.
joy	I have never cheated on my girlfriend.
sad	My best friend and I have lived 5 minutes or less away from each other for the past 20 years. Next week she is moving an 11 hour drive away from here. I don't know how I will cope.
fear	There was a racoon by the dumpster last night when I was taking out the trash.
fear	A truck almost ran me off the road the other day.
fear	I heard a hissing noise outside my door and I swear to god it was a snake. It turned out to my brother playing a prank on me.
anticipating	I am ready for the next McGregor fight.
surprise	I couldn't believe that I got a call from an old friend
sad	My daughter is growing so fast. She is almost taller than me already. I'm not ready.
fear	Last night I heard strange noises coming from my basement. I creeped down the stairs with a flashlight. I nearly jumped out of my skin when I saw a humongous rat in the corner!
sad	I remember rushing  home to watch Passions after school. We would all talk about it it homeroom the next day.
sad	My daughter lost her last baby tooth today, she's growing up.
joy	I am satisfied with my gains so far. I hit the gym only 2 times a week but I am ok with that.
fear	When my house burned down in the 8th grade
fear	When I went to a haunted house and got spooked.
anger	My sister and I are fighting.
anticipating	One time I ordered a game on the internet and it took a week longer that it was supposed to, to get delivered and I had no idea when it would be delivered. 
fear	I am moving to a new neighborhood next week. What if the neighbors dont like me.
anger	My daughter only like to talk to me when I'm on the phone. She is the worst.
anger	I am mad that the summer is almost over.
disgust	I had eggs for breakfast this morning. I don't think I cooked the eggs enough and the yolk was raw, I felt like vomiting.
anticipating	I can't wait to get to the ocean!
anger	I just bought some honey buns and the entire box is gone. I didn't even eat any.
anger	MY new neighbors have decided to move their thing around at midnight. IT is so loud
fear	I was walking home by myself when I was studying abroad in another country, and a man was following me and kind of harassing me verbally.
joy	When I came home the other night and my wife prepared my favorite meal.
anticipating	I can't wait for the last seans of game of thrones
joy	I'm perfectly fine with being single at the moment. It gives me a lot of clarity and time to self-reflect.
disgust	I remember having escargot on a cruise. It was the worst.
anger	My husband stole my money out of my bank account!
anticipating	I'm going shopping with my mom tomorrow. I can't wait.
fear	I'm meeting my boyfriends parents soon. I am so scared.
anticipating	I can't stop thinking about when Christmas will be here. I love how New Years comes right after that.
anger	Yesterday I saw a bird had pooped all over my car. I had just got it washed. I was so ticked off!
joy	Tomorrow is my birthday! I'm so happy its finally on a weekend.
surprise	I am shocked the Red Sox beat the Yankees today.
anticipating	I can't wait until tomorrow. It's going to be lit!!
fear	had hellp syndrome with 1st child.  almost died
surprise	when we got engaged I was not expecting it.  we went to a bed and breakfast
anger	Recently, a person cut in front of me in line at the super market.  I was very upset about it.
anger	My cat constantly jumps on my keyboard even though I put him on the other side of the room. I can't get anything done, and if you lock him in another room he meows like a madman
anger	Today, it is rainning because of that I can't get out. It is boring.
sad	My son and I went to the beach and had a near death experience.  We almost drowned as we got sucked in to an under tow.
anger	I was behind a guy going 10 miles per hour under the speed limit the other day. But when we got to a light that just turned yellow he floored it leaving me at the red light. 
surprise	I didn't know the show POWER was going to be so good!
anger	I was driving in a parking lot and someone stole my parking spot.  I was so angry about it.
sad	I just moved out of the city. I am going to miss all of my friends.
anticipating	I am so nervous.  I have a blind date tomorrow night.
sad	I have been feeling really sad, recently lost my 23 year old niece.
anger	I went to Wendy's and the cashier overcharged me!  I was so upset about it.
joy	I am just a chillin here on a Saturday night.  No work to do.  Just me and my dogs.
anger	I order a nice breakfast for me and my kids this morning. They got everything wrong!
joy	I am pretty thankful to have family living close
sad	There is nothing fun to do in this city. I feel so alone.
